Rat number: 5 , Date: 20210628 
320,314,313,306,307,301,302,121,120,114,113,106,107,101,102,103,104,105,111,112,119,118,124,201,202,203,204,205,211,212,219,218,217,210,209,203,204,205,211,212,219,218,224,223,404,403,409,408,415,416,422,423,424,418,424,423,422,421,420,414,413,406,407,401,324,323,322,316,315,308,307,301,302,121,120,114,113,106,107,101,102,103,104,105,111,110,109,103,104,105,111,110,117,116,122,121,120,114,115,114,120,121,120,114,120,121,122,123,124,201,207,104,
Summary Trial 1
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('320', '314') ('00:00:35.400', '00:00:39.320') 3.92 0.3 0.077
('314', '313') ('00:00:39.320', '00:00:55.800') 16.48 0.3 0.018
('313', '306') ('00:00:55.800', '00:01:6.600') 10.8 0.3 0.028
('306', '307') ('00:01:6.600', '00:01:9.920') 3.32 0.3 0.09
('307', '301') ('00:01:9.920', '00:01:17.400') 7.48 0.3 0.04
('301', '302') ('00:01:17.400', '00:01:20.080') 2.68 0.3 0.112
('302', '121') ('00:01:20.080', '00:01:28.880') 8.8 1.72 0.195
('121', '120') ('00:01:28.880', '00:01:38.400') 9.52 0.3 0.032
('120', '114') ('00:01:38.400', '00:01:42.240') 3.84 0.3 0.078
('114', '113') ('00:01:42.240', '00:01:45.560') 3.32 0.3 0.09
('113', '106') ('00:01:45.560', '00:01:46.760') 1.2 0.3 0.25
('106', '107') ('00:01:46.760', '00:01:47.800') 1.04 0.3 0.288
('107', '101') ('00:01:47.800', '00:01:50.320') 2.52 0.3 0.119
('101', '102') ('00:01:50.320', '00:02:2.560') 12.24 0.3 0.025
('102', '103') ('00:02:2.560', '00:02:4.120') 1.56 0.3 0.192
('103', '104') ('00:02:4.120', '00:02:5.400') 1.28 0.3 0.234
('104', '105') ('00:02:5.400', '00:02:7.040') 1.64 0.3 0.183
('105', '111') ('00:02:7.040', '00:02:9.240') 2.2 0.3 0.136
('111', '112') ('00:02:9.240', '00:02:12.520') 3.28 0.3 0.091
('112', '119') ('00:02:12.520', '00:02:15.200') 2.68 0.3 0.112
('119', '118') ('00:02:15.200', '00:02:17.560') 2.36 0.3 0.127
('118', '124') ('00:02:17.560', '00:02:18.880') 1.32 0.3 0.227
('124', '201') ('00:02:18.880', '00:02:20.520') 1.64 0.6 0.366
('201', '202') ('00:02:20.520', '00:02:21.800') 1.28 0.3 0.234
('202', '203') ('00:02:21.800', '00:02:23.000') 1.2 0.3 0.25
('203', '204') ('00:02:23.000', '00:02:28.480') 5.48 0.3 0.055
('204', '205') ('00:02:28.480', '00:02:31.120') 2.64 0.3 0.114
('205', '211') ('00:02:31.120', '00:02:32.680') 1.56 0.3 0.192
('211', '212') ('00:02:32.680', '00:02:33.600') 0.92 0.3 0.326
('212', '219') ('00:02:33.600', '00:02:42.960') 9.36 0.3 0.032
('219', '218') ('00:02:42.960', '00:02:47.000') 4.04 0.3 0.074
