Rat number: 7 , Date: 20210716 
419,418,424,423,422,416,417,418,424,418,424,418,417,410,409,408,407,401,324,318,317,316,322,321,320,314,315,308,307,306,307,301,302,121,120,114,113,106,107,101,102,103,104,105,104,105,111,110,109,103,109,108,107,101,102,103,104,105,111,112,119,118,124,201,202,203,209,210,211,205,204,203,209,208,215,216,217,218,224,223,404,405,411,410,417,416,422,423,422,421,420,414,415,408,407,401,324,323,322,209,
Summary Trial 1
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('419', '418') ('00:00:36.200', '00:00:39.960') 3.76 0.3 0.08
('418', '424') ('00:00:39.960', '00:00:43.440') 3.48 0.3 0.086
('424', '423') ('00:00:43.440', '00:00:45.440') 2.0 0.3 0.15
('423', '422') ('00:00:45.440', '00:00:49.600') 4.16 0.3 0.072
('422', '416') ('00:00:49.600', '00:00:52.400') 2.8 0.3 0.107
('416', '417') ('00:00:52.400', '00:00:54.200') 1.8 0.3 0.167
('417', '418') ('00:00:54.200', '00:00:55.520') 1.32 0.3 0.227
('418', '424') ('00:00:55.520', '00:01:0.200') 4.68 0.3 0.064
('424', '418') ('00:01:0.200', '00:01:0.240') 0.04 0.3 7.5
('418', '424') ('00:01:0.240', '00:01:0.560') 0.32 0.3 0.938
('424', '418') ('00:01:0.560', '00:01:6.920') 6.36 0.3 0.047
('418', '417') ('00:01:6.920', '00:01:8.400') 1.48 0.3 0.203
('417', '410') ('00:01:8.400', '00:01:9.600') 1.2 0.3 0.25
('410', '409') ('00:01:9.600', '00:01:10.840') 1.24 0.3 0.242
('409', '408') ('00:01:10.840', '00:01:12.200') 1.36 0.3 0.221
('408', '407') ('00:01:12.200', '00:01:13.400') 1.2 0.3 0.25
('407', '401') ('00:01:13.400', '00:01:18.600') 5.2 0.3 0.058
('401', '324') ('00:01:18.600', '00:01:20.600') 2.0 0.6 0.3
('324', '318') ('00:01:20.600', '00:01:21.640') 1.04 0.3 0.288
('318', '317') ('00:01:21.640', '00:01:22.760') 1.12 0.3 0.268
('317', '316') ('00:01:22.760', '00:01:24.800') 2.04 0.3 0.147
('316', '322') ('00:01:24.800', '00:01:35.880') 11.08 0.3 0.027
('322', '321') ('00:01:35.880', '00:01:45.840') 9.96 0.3 0.03
('321', '320') ('00:01:45.840', '00:01:47.840') 2.0 0.3 0.15
('320', '314') ('00:01:47.840', '00:01:49.600') 1.76 0.3 0.17
('314', '315') ('00:01:49.600', '00:01:51.200') 1.6 0.3 0.187
('315', '308') ('00:01:51.200', '00:01:52.720') 1.52 0.3 0.197
('308', '307') ('00:01:52.720', '00:01:53.720') 1.0 0.3 0.3
('307', '306') ('00:01:53.720', '00:02:1.880') 8.16 0.3 0.037
('306', '307') ('00:02:1.880', '00:02:3.160') 1.28 0.3 0.234
('307', '301') ('00:02:3.160', '00:02:9.320') 6.16 0.3 0.049
('301', '302') ('00:02:9.320', '00:02:10.640') 1.32 0.3 0.227
('302', '121') ('00:02:10.640', '00:02:17.920') 7.28 1.72 0.236
('121', '120') ('00:02:17.920', '00:02:19.400') 1.48 0.3 0.203
('120', '114') ('00:02:19.400', '00:02:29.160') 9.76 0.3 0.031
('114', '113') ('00:02:29.160', '00:02:31.800') 2.64 0.3 0.114
('113', '106') ('00:02:31.800', '00:02:33.320') 1.52 0.3 0.197
('106', '107') ('00:02:33.320', '00:02:34.400') 1.08 0.3 0.278
('107', '101') ('00:02:34.400', '00:02:36.800') 2.4 0.3 0.125
('101', '102') ('00:02:36.800', '00:02:38.800') 2.0 0.3 0.15
('102', '103') ('00:02:38.800', '00:02:41.760') 2.96 0.3 0.101
('103', '104') ('00:02:41.760', '00:02:50.400') 8.64 0.3 0.035
('104', '105') ('00:02:50.400', '00:02:54.160') 3.76 0.3 0.08
('105', '104') ('00:02:54.160', '00:03:15.520') 21.36 0.3 0.014
('104', '105') ('00:03:15.520', '00:03:19.480') 3.96 0.3 0.076
('105', '111') ('00:03:19.480', '00:03:41.040') 21.56 0.3 0.014
('111', '110') ('00:03:41.040', '00:03:50.760') 9.72 0.3 0.031
('110', '109') ('00:03:50.760', '00:03:52.840') 2.08 0.3 0.144
('109', '103') ('00:03:52.840', '00:04:0.800') 7.96 0.3 0.038
('103', '109') ('00:04:0.800', '00:05:32.440') 91.64 0.3 0.003
('109', '108') ('00:05:32.440', '00:06:15.040') 42.6 0.3 0.007
('108', '107') ('00:06:15.040', '00:06:17.720') 2.68 0.3 0.112
('107', '101') ('00:06:17.720', '00:06:25.040') 7.32 0.3 0.041
('101', '102') ('00:06:25.040', '00:06:28.400') 3.36 0.3 0.089
('102', '103') ('00:06:28.400', '00:06:39.720') 11.32 0.3 0.027
