Rat number: 7 , Date: 20210718 
319,318,317,310,311,305,220,214,215,208,209,208,207,201,202,203,209,210,217,218,219,218,219,212,211,210,209,203,202,201,124,118,117,110,109,103,102,101,107,106,107,108,115,116,122,121,302,303,309,308,307,308,315,316,322,321,322,323,324,401,407,408,415,416,422,423,422,416,417,410,411,405,404,223,224,218,217,210,209,203,204,205,211,210,209,208,207,201,202,203,202,201,207,208,209,203,209,210,217,218,224,218,217,210,217,210,209,208,207,201,202,203,204,203,209,
Summary Trial 1
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('319', '318') ('00:00:37.160', '00:00:38.560') 1.4 0.3 0.214
('318', '317') ('00:00:38.560', '00:00:41.800') 3.24 0.3 0.093
('317', '310') ('00:00:41.800', '00:00:44.800') 3.0 0.3 0.1
('310', '311') ('00:00:44.800', '00:00:47.360') 2.56 0.3 0.117
('311', '305') ('00:00:47.360', '00:00:48.640') 1.28 0.3 0.234
('305', '220') ('00:00:48.640', '00:00:52.760') 4.12 0.6 0.146
('220', '214') ('00:00:52.760', '00:00:54.440') 1.68 0.3 0.179
('214', '215') ('00:00:54.440', '00:00:56.600') 2.16 0.3 0.139
('215', '208') ('00:00:56.600', '00:00:58.200') 1.6 0.3 0.187
('208', '209') ('00:00:58.200', '00:01:1.360') 3.16 0.3 0.095
('209', '208') ('00:01:1.360', '00:01:9.800') 8.44 0.3 0.036
('208', '207') ('00:01:9.800', '00:01:10.920') 1.12 0.3 0.268
('207', '201') ('00:01:10.920', '00:01:14.400') 3.48 0.3 0.086
('201', '202') ('00:01:14.400', '00:01:21.160') 6.76 0.3 0.044
('202', '203') ('00:01:21.160', '00:01:23.280') 2.12 0.3 0.142
('203', '209') ('00:01:23.280', '00:01:26.120') 2.84 0.3 0.106
('209', '210') ('00:01:26.120', '00:01:37.960') 11.84 0.3 0.025
('210', '217') ('00:01:37.960', '00:01:39.480') 1.52 0.3 0.197
