rat_no,date,trial_no,rat_id,node,time,distance,seconds_ff,speed_ff,island,re-visit,u_turn,cum_distance,cum_seconds,act_stps_2trgt,min_stps_2trgt,nd-visits-day,nd-visits-rat
Rat5,2021-06-28,2,406576,417,00:11:09.840000,0.0,0.0,0.0,Easter I.,False,False,0.0,0.0,68,18,1,1
Rat5,2021-06-28,2,406576,410,00:11:16.560000,0.3,6.72,0.045,Easter I.,False,False,0.3,6.72,67,17,1,1
Rat5,2021-06-28,2,406576,409,00:11:17.600000,0.3,1.04,0.288,Easter I.,False,False,0.6,7.76,66,16,1,1
Rat5,2021-06-28,2,406576,403,00:11:18.880000,0.3,1.28,0.234,Easter I.,False,False,0.8999999999999999,9.04,65,15,1,1
Rat5,2021-06-28,2,406576,404,00:11:19.680000,0.3,0.8,0.375,Easter I.,False,False,1.2,9.84,64,14,1,1
Rat5,2021-06-28,2,406576,223,00:11:22.800000,1.69,3.12,0.542,Japan,False,False,2.8899999999999997,12.96,63,13,1,1
Rat5,2021-06-28,2,406576,224,00:11:24.160000,0.3,1.36,0.221,Japan,False,False,3.1899999999999995,14.32,62,14,1,1
Rat5,2021-06-28,2,406576,218,00:11:25.040000,0.3,0.88,0.341,Japan,False,False,3.4899999999999993,15.200000000000001,61,13,1,1
Rat5,2021-06-28,2,406576,217,00:11:26.200000,0.3,1.16,0.259,Japan,False,False,3.789999999999999,16.36,60,12,1,1
Rat5,2021-06-28,2,406576,210,00:11:29,0.3,2.8,0.107,Japan,False,False,4.089999999999999,19.16,59,11,1,1
Rat5,2021-06-28,2,406576,211,00:11:29.760000,0.3,0.76,0.395,Japan,False,False,4.389999999999999,19.92,58,12,1,1
Rat5,2021-06-28,2,406576,212,00:11:30.880000,0.3,1.12,0.268,Japan,False,False,4.689999999999999,21.040000000000003,57,13,1,1
Rat5,2021-06-28,2,406576,219,00:11:32.840000,0.3,1.96,0.153,Japan,False,False,4.989999999999998,23.000000000000004,56,14,1,1
Rat5,2021-06-28,2,406576,218,00:11:33.960000,0.3,1.12,0.268,Japan,True,False,5.289999999999998,24.120000000000005,55,13,2,2
Rat5,2021-06-28,2,406576,217,00:11:37.840000,0.3,3.88,0.077,Japan,True,False,5.589999999999998,28.000000000000004,54,12,2,2
Rat5,2021-06-28,2,406576,210,00:11:40,0.3,2.16,0.139,Japan,True,False,5.889999999999998,30.160000000000004,53,11,2,2
Rat5,2021-06-28,2,406576,211,00:11:40.800000,0.3,0.8,0.375,Japan,True,False,6.189999999999998,30.960000000000004,52,12,2,2
Rat5,2021-06-28,2,406576,212,00:11:43,0.3,2.2,0.136,Japan,True,False,6.4899999999999975,33.160000000000004,51,13,2,2
Rat5,2021-06-28,2,406576,219,00:11:51.960000,0.3,8.96,0.033,Japan,True,False,6.789999999999997,42.120000000000005,50,14,2,2
Rat5,2021-06-28,2,406576,218,00:11:53.680000,0.3,1.72,0.174,Japan,True,False,7.089999999999997,43.84,49,13,3,3
Rat5,2021-06-28,2,406576,224,00:11:55.560000,0.3,1.88,0.16,Japan,True,False,7.389999999999997,45.720000000000006,48,14,2,2
Rat5,2021-06-28,2,406576,223,00:11:57.480000,0.3,1.92,0.156,Japan,True,False,7.689999999999997,47.64000000000001,47,13,2,2
Rat5,2021-06-28,2,406576,222,00:11:59.760000,0.3,2.28,0.132,Japan,False,False,7.989999999999997,49.92000000000001,46,12,1,1
Rat5,2021-06-28,2,406576,221,00:12:02.360000,0.3,2.6,0.115,Japan,False,False,8.289999999999997,52.52000000000001,45,13,1,1
Rat5,2021-06-28,2,406576,220,00:12:16.280000,0.3,13.92,0.022,Japan,False,False,8.589999999999998,66.44000000000001,44,12,1,1
Rat5,2021-06-28,2,406576,214,00:12:19.600000,0.3,3.32,0.09,Japan,False,False,8.889999999999999,69.76,43,11,1,1
Rat5,2021-06-28,2,406576,215,00:12:20.520000,0.3,0.92,0.326,Japan,False,False,9.19,70.68,42,10,1,1
Rat5,2021-06-28,2,406576,216,00:12:22.760000,0.3,2.24,0.134,Japan,False,False,9.49,72.92,41,11,1,1
Rat5,2021-06-28,2,406576,217,00:12:24.720000,0.3,1.96,0.153,Japan,True,False,9.790000000000001,74.88,40,12,3,3
Rat5,2021-06-28,2,406576,218,00:12:27,0.3,2.28,0.132,Japan,True,False,10.090000000000002,77.16,39,13,4,4
Rat5,2021-06-28,2,406576,224,00:12:31.120000,0.3,4.12,0.073,Japan,True,False,10.390000000000002,81.28,38,14,3,3
Rat5,2021-06-28,2,406576,223,00:12:32.400000,0.3,1.28,0.234,Japan,True,False,10.690000000000003,82.56,37,13,3,3
Rat5,2021-06-28,2,406576,222,00:12:42.400000,0.3,10.0,0.03,Japan,True,False,10.990000000000004,92.56,36,12,2,2
Rat5,2021-06-28,2,406576,221,00:12:45.200000,0.3,2.8,0.107,Japan,True,False,11.290000000000004,95.36,35,13,2,2
Rat5,2021-06-28,2,406576,220,00:12:55.240000,0.3,10.04,0.03,Japan,True,False,11.590000000000005,105.4,34,12,2,2
Rat5,2021-06-28,2,406576,305,00:12:58.040000,0.6,2.8,0.214,Hawaii,False,False,12.190000000000005,108.2,33,11,1,1
Rat5,2021-06-28,2,406576,311,00:12:59.200000,0.3,1.16,0.259,Hawaii,False,False,12.490000000000006,109.36,32,12,1,1
Rat5,2021-06-28,2,406576,312,00:13:02,0.3,2.8,0.107,Hawaii,False,False,12.790000000000006,112.16,31,13,1,1
Rat5,2021-06-28,2,406576,319,00:13:04.280000,0.3,2.28,0.132,Hawaii,False,False,13.090000000000007,114.44,30,14,1,1
Rat5,2021-06-28,2,406576,318,00:13:05.400000,0.3,1.12,0.268,Hawaii,False,False,13.390000000000008,115.56,29,13,1,1
Rat5,2021-06-28,2,406576,324,00:13:06.440000,0.3,1.04,0.288,Hawaii,False,False,13.690000000000008,116.60000000000001,28,14,1,1
Rat5,2021-06-28,2,406576,401,00:13:09.760000,0.6,3.32,0.181,Easter I.,False,False,14.290000000000008,119.92,27,15,1,1
Rat5,2021-06-28,2,406576,407,00:13:11.520000,0.3,1.76,0.17,Easter I.,False,False,14.590000000000009,121.68,26,16,1,1
Rat5,2021-06-28,2,406576,408,00:13:13.440000,0.3,1.92,0.156,Easter I.,False,False,14.89000000000001,123.60000000000001,25,17,1,1
Rat5,2021-06-28,2,406576,409,00:13:24.280000,0.3,10.84,0.028,Easter I.,True,False,15.19000000000001,134.44,24,16,2,2
Rat5,2021-06-28,2,406576,410,00:13:44.920000,0.3,20.64,0.015,Easter I.,True,False,15.49000000000001,155.07999999999998,23,17,2,2
Rat5,2021-06-28,2,406576,417,00:13:49.520000,0.3,4.6,0.065,Easter I.,True,False,15.790000000000012,159.67999999999998,22,18,2,2
Rat5,2021-06-28,2,406576,416,00:14:03.960000,0.3,14.44,0.021,Easter I.,False,False,16.09000000000001,174.11999999999998,21,19,1,1
Rat5,2021-06-28,2,406576,417,00:14:21.240000,0.3,17.28,0.017,Easter I.,True,True,16.39000000000001,191.39999999999998,20,18,3,3
Rat5,2021-06-28,2,406576,410,00:14:24.240000,0.3,3.0,0.1,Easter I.,True,False,16.690000000000012,194.39999999999998,19,17,3,3
Rat5,2021-06-28,2,406576,411,00:14:29.360000,0.3,5.12,0.059,Easter I.,False,False,16.990000000000013,199.51999999999998,18,16,1,1
Rat5,2021-06-28,2,406576,405,00:14:31.560000,0.3,2.2,0.136,Easter I.,False,False,17.290000000000013,201.71999999999997,17,15,1,1
Rat5,2021-06-28,2,406576,404,00:14:33.360000,0.3,1.8,0.167,Easter I.,True,False,17.590000000000014,203.51999999999998,16,14,2,2
Rat5,2021-06-28,2,406576,223,00:15:04.200000,1.69,30.84,0.055,Japan,True,False,19.280000000000015,234.35999999999999,15,13,4,4
Rat5,2021-06-28,2,406576,224,00:15:08.280000,0.3,4.08,0.074,Japan,True,False,19.580000000000016,238.44,14,14,4,4
Rat5,2021-06-28,2,406576,218,00:15:10.840000,0.3,2.56,0.117,Japan,True,False,19.880000000000017,241.0,13,13,5,5
Rat5,2021-06-28,2,406576,217,00:15:12.760000,0.3,1.92,0.156,Japan,True,False,20.180000000000017,242.92,12,12,4,4
Rat5,2021-06-28,2,406576,210,00:15:25.200000,0.3,12.44,0.024,Japan,True,False,20.480000000000018,255.35999999999999,11,11,3,3
Rat5,2021-06-28,2,406576,209,00:15:26.800000,0.3,1.6,0.187,Japan,False,False,20.78000000000002,256.96,10,10,1,1
Rat5,2021-06-28,2,406576,203,00:15:27.920000,0.3,1.12,0.268,Japan,False,False,21.08000000000002,258.08,9,9,1,1
Rat5,2021-06-28,2,406576,202,00:15:33.640000,0.3,5.72,0.052,Japan,False,False,21.38000000000002,263.8,8,8,1,1
Rat5,2021-06-28,2,406576,201,00:15:36.200000,0.3,2.56,0.117,Japan,False,False,21.68000000000002,266.36,7,7,1,1
Rat5,2021-06-28,2,406576,124,00:15:39.880000,0.6,3.68,0.163,Ireland,False,False,22.280000000000022,270.04,6,6,1,1
Rat5,2021-06-28,2,406576,118,00:15:43.160000,0.3,3.28,0.091,Ireland,False,False,22.580000000000023,273.32,5,5,1,1
Rat5,2021-06-28,2,406576,119,00:15:45,0.3,1.84,0.163,Ireland,False,False,22.880000000000024,275.15999999999997,4,4,1,1
Rat5,2021-06-28,2,406576,112,00:15:46.400000,0.3,1.4,0.214,Ireland,False,False,23.180000000000025,276.55999999999995,3,3,1,1
Rat5,2021-06-28,2,406576,111,00:15:47.200000,0.3,0.8,0.375,Ireland,False,False,23.480000000000025,277.35999999999996,2,2,1,1
Rat5,2021-06-28,2,406576,105,00:15:48.280000,0.3,1.08,0.278,Ireland,False,False,23.780000000000026,278.43999999999994,1,1,1,1
Rat5,2021-06-28,2,406576,104,00:15:49.680000,0.3,1.4,0.214,Ireland,False,False,24.080000000000027,279.8399999999999,0,0,1,1
Rat5,2021-06-28,3,406576,211,00:16:44.800000,0.0,0.0,0.0,Japan,False,False,0.0,0.0,18,12,3,3
Rat5,2021-06-28,3,406576,212,00:16:47.200000,0.3,2.4,0.125,Japan,False,False,0.3,2.4,17,13,3,3
Rat5,2021-06-28,3,406576,219,00:16:51.520000,0.3,4.32,0.069,Japan,False,False,0.6,6.720000000000001,16,14,3,3
Rat5,2021-06-28,3,406576,218,00:16:53,0.3,1.48,0.203,Japan,False,False,0.8999999999999999,8.200000000000001,15,13,6,6
Rat5,2021-06-28,3,406576,217,00:16:56.480000,0.3,3.48,0.086,Japan,False,False,1.2,11.680000000000001,14,12,5,5
Rat5,2021-06-28,3,406576,210,00:16:57.600000,0.3,1.12,0.268,Japan,False,False,1.5,12.8,13,11,4,4
Rat5,2021-06-28,3,406576,211,00:17:02.440000,0.3,4.84,0.062,Japan,True,False,1.8,17.64,12,12,4,4
Rat5,2021-06-28,3,406576,205,00:17:04.520000,0.3,2.08,0.144,Japan,False,False,2.1,19.72,11,11,1,1
Rat5,2021-06-28,3,406576,204,00:17:05.599000,0.3,1.079,0.278,Japan,False,False,2.4,20.799,10,10,1,1
Rat5,2021-06-28,3,406576,203,00:17:07.880000,0.3,2.281,0.132,Japan,False,False,2.6999999999999997,23.08,9,9,2,2
Rat5,2021-06-28,3,406576,202,00:17:10.920000,0.3,3.04,0.099,Japan,False,False,2.9999999999999996,26.119999999999997,8,8,2,2
Rat5,2021-06-28,3,406576,201,00:17:11.640000,0.3,0.72,0.417,Japan,False,False,3.2999999999999994,26.839999999999996,7,7,2,2
Rat5,2021-06-28,3,406576,124,00:17:12.839000,0.6,1.199,0.5,Ireland,False,False,3.8999999999999995,28.038999999999998,6,6,2,2
Rat5,2021-06-28,3,406576,118,00:17:13.520000,0.3,0.681,0.441,Ireland,False,False,4.199999999999999,28.72,5,5,2,2
Rat5,2021-06-28,3,406576,119,00:17:14.920000,0.3,1.4,0.214,Ireland,False,False,4.499999999999999,30.119999999999997,4,4,2,2
Rat5,2021-06-28,3,406576,112,00:17:16.560000,0.3,1.64,0.183,Ireland,False,False,4.799999999999999,31.759999999999998,3,3,2,2
Rat5,2021-06-28,3,406576,111,00:17:17,0.3,0.44,0.682,Ireland,False,False,5.099999999999999,32.199999999999996,2,2,2,2
Rat5,2021-06-28,3,406576,105,00:17:17.800000,0.3,0.8,0.375,Ireland,False,False,5.399999999999999,32.99999999999999,1,1,2,2
